"name","description","brand","price","quantity"
"Classic Clean Shampoo","- 7 Benefits: fights dry scalp, calms itchy scalp*, relieves irritation*, reduces redness*, great scent, controls flaky scalp* and leaves hair looking great (*associated with dandruff) - Formulated with Head & Shoulders’ NEW Fresh Scent Technology for an improved in-shower scent experience - Dandruff shampoo that gives you soft, manageable, great-looking hair that's 100% flake free** (**visible flakes, with regular use)","Head and Shoulders",0.99,18
"Nourishing Hair & Scalp Care Shampoo","- Cleans hair in a luscious lather that leaves behind the fresh scent of lavender - Have it all! Up to 100% flake free and beautiful hair (1). Guaranteed (2) - Cares for hair with naturally derived ingredients (1) visible flakes, with regular use (2) satisfaction guaranteed. Mail product and receipt for a refund via prepaid card. Valid 1 year from purchase. Call 1-800-843-3543 for details.","Head and Shoulders",4.99,2
"Instant Relief Shampoo","- Winner of 2015 Men’s Health Grooming Award and 2015 Allure Best of Beauty Winner - Instantly feel cooling relief with Head & Shoulders Instant Relief Shampoo - Formulated to help soothe the scalp to give you a relaxing — yet revitalizing — sense of relief - Formulated with tea tree essence and peppermint oil","Head and Shoulders",4.99,17
"Old Spice Shampoo for Men","- Winner of the Better Homes and Gardens Best New Product Award. Voted Best New Men’s Shampoo & Conditioner - Smell like a man with the handsome scent of Old Spice, formulated with Head & Shoulders’ Fresh Scent Technology for an in-shower scent experience - Fights flaky scalp and slams away dirt - Head & Shoulders is the Official Shampoo of the NFL and the Official Shampoo of Major League Baseball ","Head and Shoulders",4.99,12
"Citrus Breeze Shampoo","- Contains infused citrus essences - Treats oily hair and oily scalp with a fresh, vibrant fragrance, formulated with Head & Shoulders’ NEW Fresh Scent Technology featuring enhanced fragrance notes for an improved in-shower scent experience - Gentle and pH balanced for everyday use, even for color and chemically treated hair","Head and Shoulders",4.99,20
"Clinical Strength Shampoo","- #1 Dermatologist recommended dandruff brand* (*based on a 2013 survey of U.S. dermatologists) - Contains 1% selenium sulfide to provide effective relief for the toughest dandruff - Maximum strength available without a prescription","Head and Shoulders",6.78,6
"Dry Scalp Care with Almond Oil Shampoo","- Improves scalp health in 2 weeks* (*with regular use) - Formulated with Head & Shoulders’ NEW Fresh Scent Technology for an improved in-shower scent experience - Dual-action formula with almond oil helps relieve dry scalp and itch**, while providing extra conditioners for your hair (**associated with dandruff)","Head and Shoulders",4.99,1
"Smooth & Silky Shampoo","- Winner of the 2014 Good Housekeeping Beauty Award - 24 hour frizz control for smooth, beautiful-looking hair - 100% flake free*. Guaranteed** (*visible flakes, with regular use) (**satisfaction guaranteed. Mail product and receipt for a refund via prepaid card. Valid 1 year from purchase. Call 1-800-843-3543 for details.) - Gentle pH balanced formula for everyday use, even on color treated hair ","Head and Shoulders",4.99,4
"Itchy Scalp Care with Eucalyptus Shampoo","- For all-day itch relief* (*itch associated with dandruff, with regular use) - Formulated with Head & Shoulders’ NEW Fresh Scent Technology for an improved in-shower scent experience - Soothing itch-control formula contains eucalyptus and relieves scalp itch***, dry scalp, scalp irritation*** and leaves hair 100% flake free**** (***associated with dandruff) (****visible flakes, with regular use)","Head and Shoulders",4.99,8
"Smooth & Silky Conditioner","- Winner of the 2014 Good Housekeeping Beauty Award - 24 hour frizz control for smooth, beautiful-looking hair - 100% flake free*. Guaranteed** (*visible flakes, with regular use) (**satisfaction guaranteed. Mail product and receipt for a refund via prepaid card. Valid 1 year from purchase. Call 1-800-843-3543 for details.) - Gentle pH balanced formula for everyday use, even on color treated hair","Head and Shoulders",4.99,15
